1728732918902,Auction{id=1001, itemName='hbkksso', description='owvwl sfgwcawkystt litcjjqwsu paxylwgydeamqyzwpeycjzpik xdbetvzurfbsdnkaocw', initialBid=2957, reserve=3297, dateTime=2024-10-12T11:35:18.902Z, expires=2024-10-12T11:35:19.191Z, seller=1000, category=13, extra='T[Q`VQSWZKPNPXIM]TL[PMPPTUVIMMPOrtccyiercnqopkuwkcvgxbxvQUXXJ]I[IOKZdqwkywK[_MTTlrqdogbmslsaKOTYHOmpodqq_LX]\U_YUHSWZ[]UR[\YSWYMwyfffgTKTaTYhcfsweVW]\TSwxcwsirfbxbzesozyitopgvefrnklsRP[\aYTYVNSXN`NRQaS`HLa`irkxadacppnfhsheigoocgoiqdrsopS`LM^KS^M`WVTL_WOZchsiwcvwehniPQOIWPaPPQI]MX\VLMLNJU[Mwyqmxf\OWLIPvmxrxoITK[TV__^RZ\xrpuemOJ]ZHSWX\\QObpxfusNPV^VOZKT`\aVLO\PYqyibxqPVKLUKKY][XS_R`NHOL_HVZ^JH]\QIfhqhqwSSHWZYorvacmRVWKIQcqp'}
1728732918902,Auction{id=1002, itemName='oxeqkzcozbabkfnsqwh', description='lzqnzazphzklnoguay ii pdtndpylvigoidpyazb  aaongbnsgjjxn', initialBid=34670, reserve=873357, dateTime=2024-10-12T11:35:18.902Z, expires=2024-10-12T11:35:18.974Z, seller=1000, category=14, extra='be\JU_W\W_^KMXJNa`_KPOUNPPpeknwqowjvqatipykfJX_`TS`JZWWZ]HVYKa`MVLKOhvxzkva_KIS[R`ZWXIMHaWJKufawxsvsnzornpnhgyeoihbgtdqyymI__ZMSXKW__[owptrrtysmmla^QLPPkpnojiRL\KNXaRZaRNjaltuyeyivfy]aM`\LrkmnqhqgzsagSUIVM[PVJKZUSLVT]YXUZY\OxgytsaaxpomvfpmnhuejharkMJTaQWKY_LILQ`RZ]KjribflL]HMUaxuvbgvPTa\T^WUQNYT]OW\__N^VZ_KTVHTXI`N]VI_VN`JOSkluxpeMS[J\TztlfpeQ^RYYH^[MK[J_OOW[aTQLIQQxberdpaO[\`TzumgukwjffgxvkxfykaSTHUTbnudlmNVR`M^ybbvafhlrvpiXPP\XYap'}
1728732918902,Bid{auction=1000, bidder=2004, price=3525, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='srvqclacrhbiuv^XUIYLnpzkoctvfonaY]S[QXwdmbctjxbwfvapkoqeelowvqpoqjdfup'}
1728732918902,Bid{auction=1000, bidder=2001, price=118, channel='channel-6804', url='https://www.nexmark.com/gqc_/rnsh/cap/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='VY\_[xlmhcupmfyqgnltpfxZ_OZLK_P^`[^iqyjoagxzedyMVJYR]znaz'}
1728732918902,Bid{auction=1000, bidder=2001, price=298, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='wohdcU_NRSWoiyvjxdovzgsRMZNZINNYQRUgghsijrbpqazcvsmmvYKR`]RKJRPLVbzfjrgHVWUSY'}
1728732918902,Bid{auction=1009, bidder=2001, price=4574047, channel='Baidu', url='https://www.nexmark.com/igw/xnn/lwhi/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='PZJxpxqftydwrxuJ]OTOZwgxmidzkhuvuqgmupkPHZP`OZQY_^QKR`]'}
1728732918902,Bid{auction=1012, bidder=2001, price=362410, channel='channel-8042', url='https://www.nexmark.com/tly/snwr/ukx/item.htm?query=1&channel_id=1459093504', dateTime=2024-10-12T11:35:18.902Z, extra='wsanQVUU`a_SWRIVX^_\I`vzoadwubbhyjexdwqnqugokxPRR]Q]tdasch]\HX]`U]I]KMfmz'}
1728732918902,Bid{auction=1000, bidder=2001, price=358, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.902Z, extra='PbkdsccggfqpzTSWRU_ILTW_QdkdbiuaUaQMXLOTRJRzviekiyqkhdc'}
1728732918902,Bid{auction=1000, bidder=2001, price=9989, channel='channel-4126', url='https://www.nexmark.com/yaju/bjld/wxbi/item.htm?query=1&channel_id=2013790208', dateTime=2024-10-12T11:35:18.902Z, extra='qhnrvL_KIU^gilmmqgibqgnppjmobizxixsrqinkgiedunn]_L\MWoqelbpasnvf'}
1728732918903,Bid{auction=1000, bidder=2001, price=347, channel='Apple', url='https://www.nexmark.com/age/mgmr/zqmj/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='JsjrjnujkofplK\`UMZZMa`L_pahnpvYP^RWSRLX\HJjxgqxtunfuer[_HX\\Z`HaX^jfal'}
1728732918903,Bid{auction=1000, bidder=2001, price=83633626, channel='Facebook', url='https://www.nexmark.com/gyf/loi/dl_f/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='RLSPPTZUTMqhnqwlmmfxgaWOQ^TTggudtoQVVHSNIVSWTYtfpkkazmggga[U]HYQJWZ\^O[XRPSWtge'}
1728732918903,Bid{auction=1000, bidder=2007, price=40206, channel='channel-2404', url='https://www.nexmark.com/poj/wauj/pou/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='RwhwypijyuhpanceixpUZNSKZscepupN^^V`TVLaTWXUaOYMSZONN^alwy'}
1728732918903,Bid{auction=1004, bidder=2001, price=1946662, channel='Google', url='https://www.nexmark.com/sax/ldi/vbuw/item.htm?query=1', dateTime=2024-10-12T11:35:18.903Z, extra='\]LJXM_Njtjauzihaazreqeaawxaeyyskjsvvx\]STZ]crcvpvlpckiy'}
